# f(q^e) = q^(2e) - q^e + 1.  Primes q < 8000 with an arrow q -> 3,
# and whether q is itself covered (i.e. F has a root mod q).
# q	q mod 3	q covered?
2	2	no
5	2	no
11	2	no
17	2	no
23	2	no
29	2	no
41	2	no
47	2	no
53	2	no
59	2	no
71	2	no
83	2	no
89	2	no
101	2	no
107	2	no
113	2	no
131	2	no
137	2	no
149	2	no
167	2	no
173	2	no
179	2	no
191	2	no
197	2	no
227	2	no
233	2	no
239	2	no
251	2	no
257	2	no
263	2	no
269	2	no
281	2	no
293	2	no
311	2	no
317	2	no
347	2	no
353	2	no
359	2	no
383	2	no
389	2	no
401	2	no
419	2	no
431	2	no
443	2	no
449	2	no
461	2	no
467	2	no
479	2	no
491	2	no
503	2	no
509	2	no
521	2	no
557	2	no
563	2	no
569	2	no
587	2	no
593	2	no
599	2	no
617	2	no
641	2	no
647	2	no
653	2	no
659	2	no
677	2	no
683	2	no
701	2	no
719	2	no
743	2	no
761	2	no
773	2	no
797	2	no
809	2	no
821	2	no
827	2	no
839	2	no
857	2	no
863	2	no
881	2	no
887	2	no
911	2	no
929	2	no
941	2	no
947	2	no
953	2	no
971	2	no
977	2	no
983	2	no
1013	2	no
1019	2	no
1031	2	no
1049	2	no
1061	2	no
1091	2	no
1097	2	no
1103	2	no
1109	2	no
1151	2	no
1163	2	no
1181	2	no
1187	2	no
1193	2	no
1217	2	no
1223	2	no
1229	2	no
1259	2	no
1277	2	no
1283	2	no
1289	2	no
1301	2	no
1307	2	no
1319	2	no
1361	2	no
1367	2	no
1373	2	no
1409	2	no
1427	2	no
1433	2	no
1439	2	no
1451	2	no
1481	2	no
1487	2	no
1493	2	no
1499	2	no
1511	2	no
1523	2	no
1553	2	no
1559	2	no
1571	2	no
1583	2	no
1601	2	no
1607	2	no
1613	2	no
1619	2	no
1637	2	no
1667	2	no
1697	2	no
1709	2	no
1721	2	no
1733	2	no
1787	2	no
1811	2	no
1823	2	no
1847	2	no
1871	2	no
1877	2	no
1889	2	no
1901	2	no
1907	2	no
1913	2	no
1931	2	no
1949	2	no
1973	2	no
1979	2	no
1997	2	no
2003	2	no
2027	2	no
2039	2	no
2063	2	no
2069	2	no
2081	2	no
2087	2	no
2099	2	no
2111	2	no
2129	2	no
2141	2	no
2153	2	no
2207	2	no
2213	2	no
2237	2	no
2243	2	no
2267	2	no
2273	2	no
2297	2	no
2309	2	no
2333	2	no
2339	2	no
2351	2	no
2357	2	no
2381	2	no
2393	2	no
2399	2	no
2411	2	no
2417	2	no
2423	2	no
2441	2	no
2447	2	no
2459	2	no
2477	2	no
2531	2	no
2543	2	no
2549	2	no
2579	2	no
2591	2	no
2609	2	no
2621	2	no
2633	2	no
2657	2	no
2663	2	no
2687	2	no
2693	2	no
2699	2	no
2711	2	no
2729	2	no
2741	2	no
2753	2	no
2777	2	no
2789	2	no
2801	2	no
2819	2	no
2837	2	no
2843	2	no
2861	2	no
2879	2	no
2897	2	no
2903	2	no
2909	2	no
2927	2	no
2939	2	no
2957	2	no
2963	2	no
2969	2	no
2999	2	no
3011	2	no
3023	2	no
3041	2	no
3083	2	no
3089	2	no
3119	2	no
3137	2	no
3167	2	no
3191	2	no
3203	2	no
3209	2	no
3221	2	no
3251	2	no
3257	2	no
3299	2	no
3323	2	no
3329	2	no
3347	2	no
3359	2	no
3371	2	no
3389	2	no
3407	2	no
3413	2	no
3449	2	no
3461	2	no
3467	2	no
3491	2	no
3527	2	no
3533	2	no
3539	2	no
3557	2	no
3581	2	no
3593	2	no
3617	2	no
3623	2	no
3659	2	no
3671	2	no
3677	2	no
3701	2	no
3719	2	no
3761	2	no
3767	2	no
3779	2	no
3797	2	no
3803	2	no
3821	2	no
3833	2	no
3851	2	no
3863	2	no
3881	2	no
3911	2	no
3917	2	no
3923	2	no
3929	2	no
3947	2	no
3989	2	no
4001	2	no
4007	2	no
4013	2	no
4019	2	no
4049	2	no
4073	2	no
4079	2	no
4091	2	no
4127	2	no
4133	2	no
4139	2	no
4157	2	no
4211	2	no
4217	2	no
4229	2	no
4241	2	no
4253	2	no
4259	2	no
4271	2	no
4283	2	no
4289	2	no
4337	2	no
4349	2	no
4373	2	no
4391	2	no
4397	2	no
4409	2	no
4421	2	no
4451	2	no
4457	2	no
4463	2	no
4481	2	no
4493	2	no
4517	2	no
4523	2	no
4547	2	no
4583	2	no
4637	2	no
4643	2	no
4649	2	no
4673	2	no
4679	2	no
4691	2	no
4703	2	no
4721	2	no
4733	2	no
4751	2	no
4787	2	no
4793	2	no
4799	2	no
4817	2	no
4871	2	no
4877	2	no
4889	2	no
4919	2	no
4931	2	no
4937	2	no
4943	2	no
4967	2	no
4973	2	no
5003	2	no
5009	2	no
5021	2	no
5039	2	no
5051	2	no
5081	2	no
5087	2	no
5099	2	no
5147	2	no
5153	2	no
5171	2	no
5189	2	no
5231	2	no
5237	2	no
5261	2	no
5273	2	no
5279	2	no
5297	2	no
5303	2	no
5309	2	no
5333	2	no
5351	2	no
5381	2	no
5387	2	no
5393	2	no
5399	2	no
5417	2	no
5441	2	no
5471	2	no
5477	2	no
5483	2	no
5501	2	no
5507	2	no
5519	2	no
5531	2	no
5573	2	no
5591	2	no
5639	2	no
5651	2	no
5657	2	no
5669	2	no
5693	2	no
5711	2	no
5717	2	no
5741	2	no
5783	2	no
5801	2	no
5807	2	no
5813	2	no
5843	2	no
5849	2	no
5861	2	no
5867	2	no
5879	2	no
5897	2	no
5903	2	no
5927	2	no
5939	2	no
5981	2	no
5987	2	no
6011	2	no
6029	2	no
6047	2	no
6053	2	no
6089	2	no
6101	2	no
6113	2	no
6131	2	no
6143	2	no
6173	2	no
6197	2	no
6203	2	no
6221	2	no
6257	2	no
6263	2	no
6269	2	no
6287	2	no
6299	2	no
6311	2	no
6317	2	no
6323	2	no
6329	2	no
6353	2	no
6359	2	no
6389	2	no
6449	2	no
6473	2	no
6491	2	no
6521	2	no
6551	2	no
6563	2	no
6569	2	no
6581	2	no
6599	2	no
6653	2	no
6659	2	no
6689	2	no
6701	2	no
6719	2	no
6737	2	no
6761	2	no
6779	2	no
6791	2	no
6803	2	no
6827	2	no
6833	2	no
6857	2	no
6863	2	no
6869	2	no
6899	2	no
6911	2	no
6917	2	no
6947	2	no
6959	2	no
6971	2	no
6977	2	no
6983	2	no
7001	2	no
7013	2	no
7019	2	no
7043	2	no
7079	2	no
7103	2	no
7109	2	no
7121	2	no
7127	2	no
7151	2	no
7187	2	no
7193	2	no
7211	2	no
7229	2	no
7247	2	no
7253	2	no
7283	2	no
7307	2	no
7331	2	no
7349	2	no
7433	2	no
7451	2	no
7457	2	no
7481	2	no
7487	2	no
7499	2	no
7517	2	no
7523	2	no
7529	2	no
7541	2	no
7547	2	no
7559	2	no
7577	2	no
7583	2	no
7589	2	no
7607	2	no
7643	2	no
7649	2	no
7673	2	no
7691	2	no
7703	2	no
7727	2	no
7757	2	no
7793	2	no
7817	2	no
7823	2	no
7829	2	no
7841	2	no
7853	2	no
7877	2	no
7883	2	no
7901	2	no
7907	2	no
7919	2	no
7937	2	no
7949	2	no
# total 511, of which covered: 0
