# f(q^e) = q^(2e) - q^e + 1.  For every covered prime below 3000,
# a directed cycle, i.e. an explicit n in S(f).
# p	certificate (prime^exponent, ...)	n has how many digits
3	NO CYCLE - covered but excluded	-
7	7^10 61^1	11
13	13^3 19^2	6
19	19^2 13^3	6
31	31^12 73^5	28
37	37^2 13^6	10
43	43^10 61^7	29
61	61^1 7^10	11
67	67^2 13^11	16
73	73^1 7^4	6
79	79^6 37^13	32
97	97^2 13^16	22
103	103^18 109^17	71
109	109^3 19^6	14
127	127^18 109^21	81
139	139^10 61^23	63
151	151^2 61^25	49
157	157^7 43^26	58
163	163^2 13^9	15
181	181^10 61^6	34
193	193^3 19^32	48
199	199^2 37^3	10
211	211^10 181^35	103
223	223^2 61^37	71
229	229^1 7^38	35
241	241^1 7^40	37
271	271^2 13^3	9
277	277^7 43^46	93
283	283^6 37^47	89
307	307^10 61^51	116
313	313^5 31^52	91
331	331^2 13^11	18
337	337^3 19^56	80
349	349^2 13^58	70
367	367^16 97^61	163
373	373^3 37^31	57
379	379^2 13^63	76
397	397^1 7^66	59
409	409^1 7^4	6
421	421^7 43^70	133
433	433^1 13^36	43
439	439^6 37^73	131
457	457^2 13^76	90
463	463^6 37^77	137
487	487^2 13^81	96
499	499^32 193^83	277
523	523^6 37^87	153
541	541^2 37^90	147
547	547^2 37^91	149
571	571^12 73^95	211
577	577^1 7^96	84
601	601^1 19^100	131
607	607^66 397^1	187
613	613^2 13^102	120
619	619^16 97^103	250
631	631^2 13^105	123
643	643^2 13^107	125
661	661^6 37^110	190
673	673^1 13^14	19
691	691^2 13^115	134
709	709^13 79^118	261
727	727^6 37^121	207
733	733^1 7^122	106
739	739^2 13^41	52
751	751^4 73^1	14
757	757^5 31^126	203
769	769^2 13^128	149
787	787^2 13^131	152
811	811^10 61^27	78
823	823^12 73^137	291
829	829^1 7^46	42
853	853^6 73^71	150
859	859^2 37^143	231
877	877^2 13^146	169
883	883^6 37^49	95
907	907^6 37^151	255
919	919^4 73^153	297
937	937^7 43^156	276
967	967^6 37^161	271
991	991^2 37^55	93
997	997^1 7^166	144
1009	1009^3 19^8	20
1021	1021^3 19^34	53
1033	1033^2 13^172	198
1039	1039^4 73^173	335
1051	1051^2 13^175	201
1063	1063^10 61^177	347
1069	1069^1 7^178	154
1087	1087^58 349^181	637
1093	1093^3 19^182	242
1117	1117^3 19^62	89
1123	1123^6 37^187	312
1129	1129^2 13^188	216
1153	1153^1 7^64	58
1171	1171^6 37^195	325
1201	1201^6 37^200	333
1213	1213^11 67^202	403
1231	1231^6 109^41	103
1237	1237^1 7^206	178
1249	1249^1 7^208	179
1279	1279^10 61^213	412
1291	1291^10 61^215	415
1297	1297^1 13^36	44
1303	1303^2 37^217	347
1321	1321^1 7^44	41
1327	1327^6 37^221	366
1381	1381^3 19^230	304
1399	1399^18 109^233	532
1423	1423^2 13^237	271
1429	1429^5 31^34	67
1447	1447^12 73^241	487
1453	1453^7 43^242	418
1459	1459^18 109^9	76
1471	1471^10 61^49	120
1483	1483^26 157^13	111
1489	1489^12 73^248	501
1531	1531^2 37^15	30
1543	1543^10 61^257	491
1549	1549^2 13^86	103
1567	1567^2 13^87	104
1579	1579^2 13^263	300
1597	1597^2 13^266	303
1609	1609^6 37^268	440
1621	1621^3 37^135	222
1627	1627^4 73^271	518
1657	1657^2 37^276	440
1663	1663^6 37^277	454
1669	1669^1 7^278	239
1693	1693^3 19^282	371
1699	1699^62 373^283	929
1723	1723^8 337^287	752
1741	1741^1 19^290	375
1747	1747^2 37^291	463
1753	1753^1 7^292	251
1759	1759^4 73^293	559
1777	1777^3 19^296	389
1783	1783^2 13^297	338
1789	1789^3 19^298	391
1801	1801^2 13^300	341
1831	1831^26 157^61	219
1861	1861^7 43^310	530
1867	1867^6 37^311	508
1873	1873^5 31^104	172
1879	1879^2 13^313	356
1933	1933^3 19^322	422
1951	1951^18 109^325	722
1987	1987^2 13^331	376
1993	1993^1 7^332	284
1999	1999^12 73^111	247
2011	2011^6 37^67	125
2017	2017^2 13^48	61
2029	2029^3 19^338	443
2053	2053^6 37^342	557
2083	2083^12 73^347	687
2089	2089^1 7^348	298
2113	2113^2 13^352	399
2131	2131^6 37^71	132
2137	2137^7 43^356	605
2143	2143^2 13^357	405
2161	2161^1 7^72	65
2179	2179^12 73^363	717
2203	2203^6 37^367	596
2221	2221^2 13^370	419
2239	2239^6 37^373	606
2251	2251^2 13^15	24
2269	2269^2 13^378	428
2281	2281^6 37^380	617
2287	2287^10 61^127	261
2293	2293^5 61^191	358
2311	2311^6 37^385	624
2341	2341^1 7^390	333
2347	2347^2 61^391	705
2371	2371^30 181^395	994
2377	2377^2 13^396	448
2383	2383^6 37^397	643
2389	2389^1 13^199	226
2437	2437^2 13^58	72
