# Density of primes that divide no element of S(f), f(q^e)=F(q^e)
# predicted = share of fixed-point-free elements of Gal(F)
# measured over the 3245 primes below 30000
# F	Galois group	predicted	measured
x+1	trivial	0	0.000000
x^2+1 (Phi_4)	C_2	1/2	0.503236
x^2+x+1 (Phi_3)	C_2	1/2	0.503544
x^2-x+1 (Phi_6)	C_2	1/2	0.503544
x^2-x-1	C_2	1/2	0.503544
x^4+x^3+2x^2+x+1 (Phi_3 Phi_4)	C_2xC_2 two orbits	1/4	0.250847
x^3-x-1	S_3	1/3	0.335593
x^4-x-1	S_4	3/8	0.379353
x^5-x-1	S_5	11/30	0.363636
x^3+x^2-2x-1 (periods of zeta_7)	C_3	2/3	0.668721
x^4+x^3+x^2+x+1 (Phi_5)	C_4	3/4	0.750693
x^4+1 (Phi_8)	C_2xC_2	3/4	0.754391
x^5+x^4-4x^3-3x^2+3x+1 (periods of zeta_11)	C_5	4/5	0.800308
